,Sentiment,Time,Text,review_length,clean_reviews,clean_review_length
0,positive,2021-06-18,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,137,healthy dog food good digestion also good small puppies dog eats required amount every feeding,94
1,positive,2021-07-07,I've been very pleased with the Natural Balance dog food. Our dogs have had issues with other dog foods in the past and I had someone recommend Natural Balance grain free since it is possible they were allergic to grains. Since switching I haven't had any issues. It is also helpful that have have different kibble size for larger/smaller sized dogs.,350,pleased natural balance dog food dogs issues dog foods past someone recommend natural balance grain free since possible allergic grains since switching issues also helpful different kibble size largersmaller sized dogs,218
2,positive,2021-06-18,"Before I was educated about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry foods they will eat are Wellness and Innova. Innova's manufacturer was recently purchased by Procter&Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters.",733,educated feline nutrition allowed cats become addicted dry cat food always offered canned dry wish would fed premium quality canned food limited dry food two 15 year old cats two 5 year old cats good quality dry foods eat wellness innova innovas manufacturer recently purchased proctergamble began looking replacement offering several samples local holistic pet store holistic select one usual wellness innova would eat finicky cats recommend trying holistic select good quality food palatable finicky eaters,508
3,positive,2021-07-07,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!",493,holistic vet recommended along brands tried cats prefer especially sardine version best part coats soft clean eyes clear want rude say delicately waste far less odorous cats eat mcdonalds junk found stores definite plus health benefits obvious highly recommend holistic select,276
4,positive,2021-01-07,"I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants.  I didn't expect it to taste good, but it actually does!  I've only had it for a few days and for $5 its totally worth it.  My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee.  I will follow up on this product in a few weeks.  :)",413,bought coffee much cheaper ganocafe organic reishi mushroom well healthy antioxidants expect taste good actually days 5 totally worth sisters take ganocafe introducing less expensive similar coffee follow product weeks,218
5,positive,2021-07-07,"Like the other people mentioned, this coffee has a great taste. I've tried different instant coffees before, but this one is one of the better ones. Another one of my favorites, if you want to try it out (though NOT organic), is 'Africafe pure instant coffee'",259,like people mentioned coffee great taste tried different instant coffees one one better ones another one favorites want try though organic africafe pure instant coffee,167
6,positive,2021-07-23,A good tasting light chip that has some value in nutrition.  Everyone get the munchies....is this is a good alternative to eating potato chips!,143,good tasting light chip value nutrition everyone get munchiesis good alternative eating potato chips,100
7,positive,2021-07-20,"A grande item !  Delicious fish with the ultimate flavor, best  ever in a can for all purposes !  I sent a case to my Mother recently diagnosed with Diabetes, and she loves it as a main entree for cooking patties !",214,grande item delicious fish ultimate flavor best ever purposes sent case mother recently diagnosed diabetes loves main entree cooking patties,140
8,positive,2021-07-19,"I ordered this product two times now and have been very happy with both the delivery and the product.  It works great for cooking, baking and as a substitute sugar in my Chai lattes.",182,ordered product two times happy delivery product works great cooking baking substitute sugar chai lattes,104
9,positive,2021-06-18,"This stuff is great because it's low glycemic. Substitute this to sugar and you'll be doing your body a great favor.  This size is economical and shipping is fast, too.  I got mine very soon.",191,stuff great low glycemic substitute sugar body great favor size economical shipping fast got mine soon,102
10,positive,2021-07-07,These chips are the only ones I found to be tasty and healthy. They have fewer fat calories plus higher fiber for those who want good taste and nutrition--the perfect blend!,173,chips ones found tasty healthy fewer fat calories plus higher fiber want good taste nutritionthe perfect blend,110
11,positive,2021-06-27,"I used to buy these at the local supermarket, but they are no longer carried there.  Finding them on Amazon I purchased a box and found they were fresh and delicious as I remembered.  For chips they are also very healthy.  I definately will buy them again.",256,used buy local supermarket longer carried finding amazon purchased box found fresh delicious remembered chips also healthy definately buy,137
12,positive,2021-07-21,"I've been feeding liver biscotti for years. I was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. The ingredients are top-quality. The bite-size bits are perfect for training and don't muck up your pockets. The bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats.  And for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. Enthusiastically recommended!",536,feeding liver biscotti years looking healthy treat without additives epileptic dog additives seizure trigger liver biscotti filled bill ingredients topquality bitesize bits perfect training muck pockets bitesize portions also make possible give rewards without adding pounds problem treats dogs wheat sensitivities antiallergenic recipe enthusiastically recommended,365
