,sentiment,time,text,cleaned_text,Lowercase Count,Uppercase Count,Uppercase Words,Uppercase Ratio,Punc Count,num_digits,num_verbs,num_nouns,num_tokens_cleaned,num_tokens_raw,num_words_misspelled,polarity,subjectivity,num_pos_words,num_neg_words
4979,negative,11/12/19,Disappointed.  The big boxes had a very different flavor than the smaller boxes.  I am not sure why but not good.,disappointed big box different flavor small box sure good,23,0,,0.0,3,0,0,3,9,24,0,0.2732,0.556481,0,0
659,positive,6/3/21,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.",wonderfully refresh citrus drink sweet sour enough bubble make sparkle would imagine could make great addition punch choose add favorite fruit juice draw back tad bit expencive replace family normal beverage choice sure make terrific treat keep around occational indulgence,87,0,,0.0,7,0,8,13,40,88,2,0.9747,0.653889,2,0
1097,positive,22/3/18,I just brewed my first cup and the aroma and flavor both speak of autumn and harvest.  I LOVE the flavor.  I would highly recommend this herbal tea.,brew first cup aroma flavor speak autumn harvest love flavor would highly recommend herbal tea,27,1,LOVE,0.032258,3,0,2,7,15,31,0,0.7902,0.491111,1,0
5351,negative,30/7/21,"It taste okay, but they are  not soft and the taste doesn't stay very long. I wouldn't buy them again.",taste okay soft taste stay long would buy,24,0,,0.0,3,0,2,3,8,25,2,0.2263,0.416667,0,0
2209,positive,20/4/21,These are good chips.  I like the texture and that they are easier to chew than regular tortilla chips.  Especially good with some salsa.,good chip like texture easy chew regular tortilla chip especially good salsa,26,0,,0.0,3,0,0,6,12,27,0,0.8883,0.627564,0,0
3259,negative,20/8/20,"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.<br /><br />I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.<br /><br /> When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.<br /><br />I would not recommend anyone buy this product.",first would like say purchased product store seller also problem expiration date coffee picky coffee drinker like kind prefer strong brew like flavored coffee well taste like suppose think anyone want drink chemical flavor coffee buy product thought go great consumer folgers try different flavor however first brand buy disappointed coffee definitely flavor taste like caramel sip taste sort chemical taste strong disgust neither enjoy flavor coffee caramel first time unable finish cup coffee drink entire cup would equivalent torture would recommend anyone buy product,221,2,"STORE, VERY",0.008511,34,0,13,43,85,235,6,0.943,0.583974,4,2
1116,positive,27/2/19,Love this stuff - 1st try used shaker cup to mix - would recommend using electric wand mixer to create milkshake effect - and the chocolately taste is yummy,love stuff try use shaker cup mix would recommend use electric wand mixer create milkshake effect chocolately taste yummy,29,0,,0.0,3,0,2,13,19,29,2,0.9042,0.6,2,0
1454,positive,1/7/18,"I purchased this to use on my hair and it has done wonders for my hair. I purchased other brands after I purchased this brand and by far it's the best. I also eat a teaspoon of this everyday and it taste so yummy. If you are looking for coconut oil that tastes great and works wonders for your hair all at a good price, then this is the one for you. You will not be disappointed.<br /><br />I just received my second order of Vitacost coconut oil. I love this stuff. I now use it for stir frying veggies, frying up burgers, i even fried chicken with this oil and it came out great. This brand by far beats all the other brands on the market in value and taste. And if you suffer from dry skin especially during the cold winter months, just whip this with some shea butter and apply to your skin. Your skin will thank you for it",purchase use hair do wonder hair purchase brand purchase brand far best also eat teaspoon everyday taste yummy look coconut oil taste great work wonder hair good price one disappoint receive second order vitacost coconut oil love stuff use stir fry veggie fry burger even fry chicken oil come great brand far beat brand market value taste suffer dry skin especially cold winter month whip shea butter apply skin skin thank,177,0,,0.0,19,1,7,41,71,184,3,0.9712,0.679167,5,1
2124,positive,22/9/21,"I wish Gevalia came with an option for whole beans, but as pre-ground coffee goes, this makes a great Sunday morning treat. It may be a little rich for some people as an everyday cofffee, but if you like candy-coffee, you will probably like this.",wish gevalia come option whole bean coffee go make great sunday morning treat may little rich people everyday cofffee like probably like,50,0,,0.0,6,0,5,7,22,51,4,0.9502,0.6,2,0
1290,positive,10/7/21,"This tastes great. I can't say too much about the energy factor, although I should point out that energy drinks don't usually do much for me. It has a very nice mango flavor and doesn't taste like weird chemicals. Try it!",taste great say much energy factor although point energy drink usually much nice mango flavor taste like weird chemical try,47,0,,0.0,5,0,2,10,20,49,2,0.8979,0.7375,1,0
